khayim-1|דאָס װײבּ מיט דער טאָכ ער האָבּען איהם אָנגעקוקט פּאַרװוּנדערט: װאָס װיל ער, אײגענטליך, דער סאַ-ע? אַז זײ זאַ-|דאָס װײבּ מיט דער טאָכ ער האָבּען איהם אָנגעקוקט פּאַרװוּנדערט: װאָס װיל ער, אײגענטליך, דער סאַ-ע? אַז זײ זאַ-
khayim-2|אָען נישט בּאַנוצען קײן פּוטער מיט צוקער? פאַרװאָס נישט װאָס: איז עס דען אַזאַ גרױסער קאָסט, אַז מען בּעדאַרף זיך דערמיט רעכענען? װאָס װיל ער, זײ צושטערען זײער פרישטיק?|אָען נישט בּאַנוצען קײן פּוטער מיט צוקער? פאַרװאָס נישט װאָס: איז עס דען אַזאַ גרױסער קאָסט, אַז מען בּעדאַרף זיך דערמיט רעכענען? װאָס װיל ער, זײ צושטערען זײער פרישטיק?
khayim-3|און לעדערער אַלײן האָט זיך עפּעס אױך צוריקגעכאפּט פערשעמט זיך פאַר זיך אַלײן, פאַר דעם פאָרװוּרף װאָס װיל ער נון זײ? ער האָט דערפיהלט די קנאה, װאָס בּרענט אין איהם צו זײנע אײגענע.|און לעדערער אַלײן האָט זיך עפּעס אױך צוריקגעכאפּט פערשעמט זיך פאַר זיך אַלײן, פאַר דעם פאָרװוּרף װאָס װיל ער נון זײ? ער האָט דערפיהלט די קנאה, װאָס בּרענט אין איהם צו זײנע אײגענע.
khayim-4|און װי עפּעס פערענטפערענדיק זיך, האָט ער אָנגעהױבּען צו דערצעהלען װעגען זײן אײגענער יוגענד, װעגען זײן הונגער.|און װי עפּעס פערענטפערענדיק זיך, האָט ער אָנגעהױבּען צו דערצעהלען װעגען זײן אײגענער יוגענד, װעגען זײן הונגער.
khayim-5|װען איך בּין געװען אין דײנע יאָהרען, סטעלאַ, האָבּ איך מײ דאָס נישט געקאָנט ערלױפֿען, האָבּ איך געמײנט אַו איך קין רײך, װען איך האָבּ געהאַט טריקען בּרױט.|װען איך בּין געװען אין דײנע יאָהרען, סטעלאַ, האָבּ איך מײ דאָס נישט געקאָנט ערלױפֿען, האָבּ איך געמײנט אַו איך קין רײך, װען איך האָבּ געהאַט טריקען בּרױט.
khayim-6|איז, אַלזאָ, װאָס װילסטו, אַז צוליבּ דעם זאָל זי אױך נישט עסען? דערפאַר װאָס דו האָסט געהונגערט אין דײנע יונגע יאָהרען?|איז, אַלזאָ, װאָס װילסטו, אַז צוליבּ דעם זאָל זי אױך נישט עסען? דערפאַר װאָס דו האָסט געהונגערט אין דײנע יונגע יאָהרען?
khayim-7|סטעלאַ, װי די אַנדערע קינדער, האָט שרעקליך פײנט געהאַט און נישט געקאָנט פאַרטראָגען, װען דער פאָטער האָט אָנגעהױבּען צו דערצעהלען פון זײנע הונגער-יאָהרען, פון זײן געװעזענער אַרימשיס.|סטעלאַ, װי די אַנדערע קינדער, האָט שרעקליך פײנט געהאַט און נישט געקאָנט פאַרטראָגען, װען דער פאָטער האָט אָנגעהױבּען צו דערצעהלען פון זײנע הונגער-יאָהרען, פון זײן געװעזענער אַרימשיס.
khayim-8|זײ האָבּען אין דעם געזעהן אַ פאָרװוּרף, דערפאַר װאָס זײ הונגערען נישט, און עפּעס הינטען אַרום דערפיהלט די קנאה, דעם טאַטענ'ס קנאה.|זײ האָבּען אין דעם געזעהן אַ פאָרװוּרף, דערפאַר װאָס זײ הונגערען נישט, און עפּעס הינטען אַרום דערפיהלט די קנאה, דעם טאַטענ'ס קנאה.
khayim-9|דער טאַטע האָט שטענדיק אַ גרױס פערגעניגען צו שטערען אונז דעם אָנבּײסען, צו פערבּיטערען דעם בּיסען אין מױל! איך װאָלט געװוּנשען, אַז איך זאָל קענען פארלאָזען דאָס הױז װי אַמשנעלסטען און סטעלאַ האָט זיך אױפגעהױבּען און איז אַװעק פון טיש, אױסװישענדיק זיך די טרערען פון די אױגען.|דער טאַטע האָט שטענדיק אַ גרױס פערגעניגען צו שטערען אונז דעם אָנבּײסען, צו פערבּיטערען דעם בּיסען אין מױל! איך װאָלט געװוּנשען, אַז איך זאָל קענען פארלאָזען דאָס הױז װי אַמשנעלסטען און סטעלאַ האָט זיך אױפגעהױבּען און איז אַװעק פון טיש, אױסװישענדיק זיך די טרערען פון די אױגען.
khayim-10|דער אַלטער לעדערער האָט אײנגעזעהן זײן שולד און אין געבּליבּען זיצען שװײגענדיק, שולדיק װי אַ קינד.|דער אַלטער לעדערער האָט אײנגעזעהן זײן שולד און אין געבּליבּען זיצען שװײגענדיק, שולדיק װי אַ קינד.
